ENST00000377855	NM_181864.2	ACOT7
ENST00000217455	NM_005469.3	ACOT8
ENST00000379303	NM_001037171.1	ACOT9
ENST00000293217	NM_004035.6	ACOX1
ENST00000302819	NM_003500.3	ACOX2
ENST00000356406	NM_003501.2	ACOX3
ENST00000439055	NM_001142807.1	ACOXL
ENST00000272065	NM_004300.3	ACP1
ENST00000256997	NM_001610.2	ACP2
ENST00000412435	NM_001111036.1	ACP5
ENST00000369238	NM_016361.4	ACP6
ENST00000286353	NM_001037172.1	ACPL2
ENST00000351273	NM_001134194.1	ACPP
ENST00000270593	NM_033068.2	ACPT
ENST00000229243	NM_032489.2	ACRBP
ENST00000373696	NM_052957.4	ACRC
ENST00000216139	NM_001097.2	ACR
ENST00000315608	NM_001612.5	ACRV1
ENST00000258873	NM_015162.4	ACSBG1
ENST00000252669	NM_030924.3	ACSBG2
ENST00000300441	NM_025149.4	ACSF2
ENST00000317447	NM_001127214.2	ACSF3
ENST00000281455	NM_001995.2	ACSL1
ENST00000392066	NM_203372.1	ACSL3
ENST00000340800	NM_022977.2	ACSL4
ENST00000356116	NM_016234.3	ACSL5
ENST00000379264	NM_001009185.2	ACSL6
ENST00000307493	NM_052956.2	ACSM1
ENST00000573854	NM_001010845.2	ACSM2A
ENST00000329697	NM_001105069.1	ACSM2B
ENST00000289416	NM_005622.3	ACSM3
ENST00000399422	NM_001080454.1	ACSM4
ENST00000331849	NM_017888.2	ACSM5
ENST00000323482	NM_032501.3	ACSS1
ENST00000253382	NM_001076552.2	ACSS2
ENST00000261206	NM_024560.2	ACSS3
ENST00000366684	NM_001100.3	ACTA1
ENST00000224784	NM_001613.2	ACTA2
ENST00000423391	NM_001017992.3	ACTBL2
ENST00000331789	NM_001101.3	ACTB
ENST00000290378	NM_005159.4	ACTC1
ENST00000331925	NM_001614.3	ACTG1
ENST00000345517	NM_001615.3	ACTG2
ENST00000330271	NM_001024675.1	ACTL10
ENST00000429709	NM_004301.3	ACTL6A
ENST00000160382	NM_016188.4	ACTL6B
ENST00000333999	NM_006687.2	ACTL7A
ENST00000374667	NM_006686.3	ACTL7B
ENST00000375406	NM_030812.2	ACTL8
ENST00000324436	NM_178525.3	ACTL9
ENST00000394419	NM_001130004.1	ACTN1
ENST00000366578	NM_001103.3	ACTN2
ENST00000252699	NM_004924.4	ACTN4
ENST00000254286	NM_018477.2	ACTR10
ENST00000369905	NM_005736.3	ACTR1A
ENST00000289228	NM_005735.3	ACTR1B
ENST00000377982	NM_001005386.2	ACTR2
ENST00000256001	NM_020445.5	ACTR3B
ENST00000539352	NM_001164458.1	ACTR3C
ENST00000263238	NM_005721.4	ACTR3
ENST00000243903	NM_024855.3	ACTR5
ENST00000188312	NM_022496.4	ACTR6
ENST00000335754	NM_022899.4	ACTR8
ENST00000371124	NM_138289.3	ACTRT1
ENST00000378404	NM_080431.4	ACTRT2
ENST00000257963	NM_004302.4	ACVR1B
ENST00000243349	NM_145259.2	ACVR1C
ENST00000434821	NM_001111067.2	ACVR1
ENST00000241416	NM_001616.4	ACVR2A
ENST00000352511	NM_001106.3	ACVR2B
ENST00000550683	NM_001077401.1	ACVRL1
ENST00000404366	NM_001198895.1	ACY1
ENST00000255082	NM_080658.1	ACY3
ENST00000238618	NM_001107.3	ACYP1
ENST00000394666	NM_138448.3	ACYP2
ENST00000388724	NM_001159285.1	ADAD1
ENST00000315906	NM_001145400.1	ADAD2
ENST00000428046	NM_001159280.1	ADAL
ENST00000260408	NM_001110.2	ADAM10
ENST00000200557	NM_002390.4	ADAM11
ENST00000368679	NM_003474.4	ADAM12
ENST00000356955	NM_207197.2	ADAM15
ENST00000310823	NM_003183.4	ADAM17
ENST00000265707	NM_014237.2	ADAM18
ENST00000257527	NM_033274.4	ADAM19
ENST00000256389	NM_003814.4	ADAM20
ENST00000603540	NM_003813.3	ADAM21
ENST00000398204	NM_021723.3	ADAM22
ENST00000264377	NM_003812.3	ADAM23
ENST00000265769	NM_014265.4	ADAM28
ENST00000514159	NM_001130705.1	ADAM29
ENST00000265708	NM_001464.4	ADAM2
ENST00000369400	NM_021794.3	ADAM30
ENST00000379907	NM_145004.5	ADAM32
ENST00000356518	NM_025220.2	ADAM33
ENST00000175238	NM_003817.3	ADAM7
ENST00000445355	NM_001109.4	ADAM8
ENST00000487273	NM_003816.2	ADAM9
ENST00000256412	NM_014479.3	ADAMDEC1
ENST00000597188	NM_030957.2	ADAMTS10
ENST00000504830	NM_030955.2	ADAMTS12
ENST00000371929	NM_139025.4	ADAMTS13
ENST00000373208	NM_139155.2	ADAMTS14
ENST00000299164	NM_139055.2	ADAMTS15
ENST00000274181	NM_139056.2	ADAMTS16
ENST00000268070	NM_139057.2	ADAMTS17
ENST00000282849	NM_199355.2	ADAMTS18
ENST00000274487	NM_133638.3	ADAMTS19
ENST00000284984	NM_006988.3	ADAMTS1
ENST00000389420	NM_025003.3	ADAMTS20
ENST00000251582	NM_014244.4	ADAMTS2
ENST00000286657	NM_014243.2	ADAMTS3
ENST00000367996	NM_005099.4	ADAMTS4
ENST00000284987	NM_007038.3	ADAMTS5
ENST00000381055	NM_197941.2	ADAMTS6
ENST00000388820	NM_014272.3	ADAMTS7
ENST00000257359	NM_007037.4	ADAMTS8
ENST00000498707	NM_182920.1	ADAMTS9
ENST00000380548	NM_001040272.5	ADAMTSL1
ENST00000393060	NM_014694.3	ADAMTSL2
ENST00000286744	NM_207517.2	ADAMTSL3
ENST00000271643	NM_019032.4	ADAMTSL4
ENST00000330475	NM_213604.2	ADAMTSL5
ENST00000372874	NM_000022.2	ADA
ENST00000265846	NM_006869.2	ADAP1
ENST00000330889	NM_018404.2	ADAP2
ENST00000539173	NM_015833.3	ADARB1
ENST00000381312	NM_018702.3	ADARB2
ENST00000368474	NM_001111.4	ADAR
ENST00000307921	NM_012091.3	ADAT1
ENST00000237283	NM_182503.2	ADAT2
ENST00000329478	NM_138422.2	ADAT3
ENST00000238561	NM_020421.3	ADCK1
ENST00000072869	NM_052853.3	ADCK2
ENST00000366777	NM_020247.4	ADCK3
ENST00000324464	NM_024876.3	ADCK4
ENST00000308860	NM_174922.4	ADCK5
ENST00000294517	NM_052998.2	ADC
ENST00000367851	NM_018417.4	ADCY10
ENST00000297323	NM_021116.2	ADCY1
ENST00000338316	NM_020546.2	ADCY2
ENST00000260600	NM_004036.3	ADCY3
ENST00000310677	NM_001198592.1	ADCY4
ENST00000462833	NM_183357.2	ADCY5
ENST00000307885	NM_015270.3	ADCY6
ENST00000254235	NM_001114.3	ADCY7
ENST00000286355	NM_001115.2	ADCY8
ENST00000294016	NM_001116.3	ADCY9
ENST00000579794	NM_001117.4	ADCYAP1
ENST00000304166	NM_001199635.1	ADCYAP1R1
ENST00000264758	NM_014189.3	ADD1
ENST00000407644	NM_001185054.1	ADD2
ENST00000356080	NM_016824.3	ADD3
ENST00000209668	NM_000667.3	ADH1A
ENST00000394887	NM_000668.4	ADH1B
ENST00000515683	NM_000669.3	ADH1C
ENST00000265512	NM_000670.3	ADH4
ENST00000296412	NM_000671.3	ADH5
ENST00000394899	NM_001102470.1	ADH6
ENST00000476959	NM_001166504.1	ADH7
ENST00000396623	NM_144650.2	ADHFE1
ENST00000327435	NM_018269.3	ADI1
ENST00000537425	NM_001018082.1	ADIG
ENST00000320741	NM_004797.3	ADIPOQ
ENST00000340990	NM_015999.4	ADIPOR1
ENST00000357103	NM_024551.2	ADIPOR2
ENST00000286621	NM_006721.3	ADK
ENST00000395738	NM_024866.5	ADM2
ENST00000530439	NM_001124.1	ADM
ENST00000262198	NM_014913.3	ADNP2
ENST00000396032	NM_181442.1	ADNP
ENST00000373783	NM_032804.5	ADO
ENST00000367236	NM_001048230.1	ADORA1
ENST00000337539	NM_000675.5	ADORA2A
ENST00000304222	NM_000676.2	ADORA2B
ENST00000241356	NM_000677.3	ADORA3
ENST00000311669	NM_031284.4	ADPGK
ENST00000375418	NM_138430.3	ADPRHL1
ENST00000373178	NM_017825.2	ADPRHL2
ENST00000357003	NM_001125.2	ADPRH
ENST00000276393	NM_000680.2	ADRA1A
ENST00000306675	NM_000679.3	ADRA1B
ENST00000379453	NM_000678.3	ADRA1D
ENST00000280155	NM_000681.3	ADRA2A
ENST00000409345	NM_000682.5	ADRA2B
ENST00000330055	NM_000683.3	ADRA2C
ENST00000369295	NM_000684.2	ADRB1
ENST00000305988	NM_000024.5	ADRB2
ENST00000345060	NM_000025.2	ADRB3
ENST00000308595	NM_001619.3	ADRBK1
ENST00000324198	NM_005160.3	ADRBK2
